song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en
Another Love - Dimitri Vangelis & Wyman Remix,3cwProa7pzzqTGYPYp5Efc,['Tom Odell'],Another Love (Dimitri Vangelis & Wyman Remix),204413,False,2txHhyCwHjUEpJjWrEyqyX,1,0.563235,0.862929,-3.958,0.066562,127.968,Another Love (Dimitri Vangelis & Wyman Remix)
Take Shelter,0dftdFz4eI4kGctUMLBxUc,['Years & Years'],Take Shelter,245032,False,5vBSrE1xujD2FXYRarbAXc,1,0.704555,0.573921,-5.99,0.068636,100.011,Take Shelter
Success,6Ycl1TuHMkslDrcf7sNkwN,['Samir & Viktor'],Success,195013,False,4SR9oxWziAoPR4kTrekBi6,1,0.814807,0.913039,-1.852,0.069144,128.013,Success
Avundsjuka - feat. Sam-E,0PftcoTraEZgrmw3LoBQxd,"['OIAM', 'Sam-E']",Lyxproblem,221266,False,6ZcGLGVj85BeNBUMn23YMZ,2,0.617284,0.886882,-3.848,0.2449,93.641,Avundsjuka (feat. Sam-E)
Genom allt 2,0duBrRmNnVkPMz0QQe5mUe,['Ison & Fille'],Genom allt 2 / Ambition,208853,False,1fhvwCr1HKEZgZYOrfsHyk,1,0.632777,0.58628,-7.842,0.104225,114.936,Genom allt 2
Post To Be (feat. Chris Brown & Jhene Aiko),6p5abLu89ZSSpRQnbK9Wqs,"['Omarion', 'Chris Brown']",Post To Be (feat. Chris Brown & Jhene Aiko),226580,True,0f5nVCcR06GX8Qikz0COtT,2,0.733264,0.67572,-5.655,0.043189,97.448,Post To Be (feat. Chris Brown & Jhene Aiko)
Shattered & Hollow,1Z3jfwJXw8YymTkY0NuEQs,['First Aid Kit'],Stay Gold,244506,False,21egYD1eInY6bGFcniCRT1,1,0.672363,0.483929,-6.504,0.029893,107.032,Shattered & Hollow
Avundsjuka - feat. Sam-E,41aeGT8DO73TpGTLsYyxYV,"['OIAM', 'Sam-E']",Avundsjuka,221266,False,6ZcGLGVj85BeNBUMn23YMZ,2,0.617284,0.886882,-3.848,0.2449,93.641,Avundsjuka (feat. Sam-E)
Am I Wrong,2wqaekenSQZm7hxQOYt8oE,['Nico & Vinz'],Am I Wrong,247520,False,0awl5piYwO0CDTHEkCjUhn,1,0.72295,0.623482,-7.323,0.031837,119.946,Am I Wrong
Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,['Nico & Vinz'],Black Star Elephant,247520,False,0awl5piYwO0CDTHEkCjUhn,1,0.72295,0.623482,-7.323,0.031837,119.946,Am I Wrong
